ETF_Ticker,ETF_Nombre,Tipo_Activo,Zona_Geografica,Moneda,Clasificacion_L1,Variables_Asignadas,Num_Variables
VIG,Vanguard Dividend Appreciation ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
IJJ,iShares S&P Mid-Cap 400 Value ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
USMV,iShares MSCI USA Minimum Volatility Factor ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
VCLT,Vanguard Long-Term Corporate Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
IWD,iShares Russell 1000 Value ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
LQDE.L,iShares USD Corp Bond UCITS ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
VXUS,Vanguard Total International Stock ETF,Renta Variable,Global,USD,RV - Internacional,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
SPDW,SPDR Portfolio Developed World ex-US ETF,Renta Variable,Global,USD,RV Europa,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
EXV5.DE,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF,Renta Variable,Europe,EUR,RV TÁCTICO,"EU_CORE_HICP, EU_ECB_DEPOSIT_RATE, EU_GDP, EU_HICP, EU_PMI_MANUFACTURING, EU_PMI_SERVICES, EU_STOXX600, EU_UNEMPLOYMENT_RATE, EU_VSTOXX, EU_YIELD_10Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",16
PRFD.L,Invesco Preferred Shares UCITS ETF,Renta Fija,USA,USD,RF PREFERENTES ,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_FINANCIAL_CONDITIONS, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX",7
BNDX,Vanguard Total International Bond ETF,Renta Fija,Global,USD,RF - Internacional,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_FINANCIAL_CONDITIONS, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX",7
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
IJR,iShares Core S&P Small-Cap ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XLRE,Real Estate Select Sector SPDR Fund,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
SLV,iShares Silver Trust,Alternativo,Global,USD,Commodities,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",5
PFF,iShares Preferred and Income Securities ETF,Renta Fija,USA,USD,RF PREFERENTES ,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_FINANCIAL_CONDITIONS, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX",7
